municipality,requester_cnes,requester_name,executor_cnes,executor_name,grupo_saude_am_id,executor_address
AUTAZES,3596362,UNIDADE BASICA DE SAUDE DANILO CORREA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,3596370,UNIDADE BASICA DE SAUDE ANTONIO ENFERMEIRO,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,3596397,VIGILANCIA SANITARIA E EPIDEMIOLOGIA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,3596427,LABORATORIO MUNICIPAL DE PATOLOGIA CLINICA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,4323394,IGONMED SERVICOS E COMERCIO,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,5493250,CENTRO DE REABILITACAO DE AUTAZES,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,6532535,CENTRO DE SAUDE PSICOSSOCIAL DE AUTAZES,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,6565980,SECRETARIA DE SAUDE MUNICIPAL DE AUTAZES,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,6925227,UNIDADE BASICA DE SAUDE ACU PURANGA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,6925332,UNIDADE BASICA DE SAUDE VEREADOR CLEIDSON OLIVEIRA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,6925383,UNIDADE BASICA DE SAUDE GILBERTO PINTO,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,6925677,UNIDADE BASICA DE SAUDE ESTACIO ODUVALDO PEREIRA MOTA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,7349289,LABORATORIO DE PROTESE DENTARIA DE AUTAZES,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,7365004,POLO BASE DO PANTALEAO,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,7428065,POLO BASE MURUTINGA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,7884400,GERENCIA DE ENDEMIAS DE AUTAZES,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,7920423,CENTRO DE TESTAGEM E ACONSELHAMENTO DE AUTAZES CTA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,9982744,ASB CONSULTORIO DE ODONTOLOGIA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
BARCELOS,2015242,UNIDADE HOSPITALAR DE BARCELOS,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,2015269,UBS PEDRO NUNES BENFICA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,2015277,UBS FELICIANO MATOS LEMOS PAPAGUARA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,228524,UBS FLUVIAL ARNOLDO FERREIRA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,228680,POLO BASE TAPERA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,228699,POLO BASE CAUBURIS,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,228710,POLO BASE CUMARU,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,2846926,POLO BASE HEMARIPIWEI,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,2846934,POLO BASE BANDEIRA BRANCA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,2846942,POLO BASE KOHEREPI,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,2846950,POLO BASE ADMINISTRATIVO DE BARCELOS YANOMAMI,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,4257154,UBS RAIMUNDO MONDENGO RODRIGUES SAMPAIO,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,4257189,UBS DR ALFREDO AUGUSTO PEREIRA CAMPOS,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,4257251,UBS ANTONIO SORIANO LOPES,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,4650077,POLO BASE XAMANI,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,4651170,POLO BASE LAHAKA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,4667654,CENTRO DE ATENCAO PSICOSSOCIAL CAPS,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,5362911,UBS OTILIA DE MACEDO BEZERRA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,5595029,GERENCIA DE ENDEMIAS,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,6874096,SECRETARIA MUNICIPAL DE SAUDE DE BARCELOS,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,7779534,POLO BASE BALAWAU,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,7779542,POLO BASE AJURICABA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,7779550,POLO BASE WAHARO,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,7779569,POLO BASE ARACA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,7779577,POLO BASE CACHOEIRA DO ARACA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,7779585,POLO BASE DEMINI,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,7779593,POLO BASE MARARI,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,7779607,POLO BASE PAHANA,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
BARCELOS,7779615,POLO BASE NOVO DEMINI,4257243,UBS MARIA LUCIA RODRIGUES BAHIA,da613f49-5721-4129-b204-1a180e7647c0,"TRAVESSA DORVAL PORTO, SN -NOSSA SENHORA DE NAZARÉ"
